,Book,tablet,mobile phone,fruit,shampoo,water heater,Mengniu,clothes,computer,hotel,accuracy,macro avg,weighted avg
precision,0.9693593314763231,0.7706592386258124,0.8630705394190872,0.9006211180124224,0.8152173913043478,0.7352941176470589,1.0,0.9031925849639547,0.890818858560794,0.9881422924901185,0.883243071041733,0.8836375472499919,0.8848965506943975
recall,0.9329758713136729,0.8316633266533067,0.832,0.9015544041450777,0.820079522862823,0.46296296296296297,0.9950980392156863,0.8840725806451613,0.8975,0.9652509652509652,0.883243071041733,0.8523157673049656,0.883243071041733
f1-score,0.9508196721311476,0.8,0.8472505091649695,0.9010875194199897,0.817641228939544,0.5681818181818182,0.9975429975429976,0.8935303107488539,0.8941469489414695,0.9765625,0.883243071041733,0.864676350507079,0.8835465251783486
support,373.0,998.0,250.0,965.0,1006.0,54.0,204.0,992.0,400.0,1036.0,0.883243071041733,6278.0,6278.0
